"iso3","country","region","year","decision_year","completion_year","relief_van_musd","hipc_phase","post_completion","dsf_2022","eub","gdpg","reserves","pov_190","wgi_cc","wgi_rl","wgi_ge","wgi_rq","wgi_pv","wgi_va","ln_relief","ln_gdppc","ln_dxp","ln_inf_mort","ln_eub","inf_log","fdi_w","soc_exp","wgi_comp_lag","wgi_cc_lag","wgi_rl_lag","wgi_ge_lag","soc_x_wgi","dsf_num","dsf_high","time_since_comp","dxp","sdi","gdppc","trade","inf","fdi","wgi_comp","educ_exp","health_exp","inf_mort","gini","dxx_proxy","dxx_proxy_flag","tax_rev_gdp","total_rev_gdp","resource_rev_gdp","direct_tax_gdp","indirect_tax_gdp","income_tax_gdp","goods_tax_gdp","trade_tax_gdp","social_cont_gdp","IPF","RDI","resource_dep","fiscal_space","ln_tax_rev","ln_total_rev","wgi_pc1","FCF","FDS","IGC","IGA","ajr_settmort","ht_colonial","ross_oil_prod"
"AFG","Afghanistan","Asia",1990,2007,2010,571,0,0,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3491389913798,NA,NA,4.97327950755249,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,229.679753257693,5.38187587385002,278.293479866983,63.7735360253924,12.2089456308977,6.43060058137235,-0.960946073134741,3.01462006568909,0.34288675,144.5,55.2,720.298003128578,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479948706184113,0.0265126959081116,4.54009819030762,0,0
"BEN","Benin","SSA",1990,2000,2003,460,0,0,"High",NA,8.9761343599898,NA,NA,NA,NA,NA,NA,NA,NA,6.13339804299665,6.61935250232936,4.07456073282456,4.58394654953646,NA,NA,-0.150760018353931,NA,NA,NA,NA,NA,NA,3,1,NA,57.8246351809012,1.93119932820416,749.459666582926,45.7201821451396,1.49102370047802,-0.150760018353931,-0.713416554654638,3.53558993339539,0.45625761,97.9,39,252.950152286514,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425440806895132,0.310438991023609,5.58544921875,6,291000
"BOL","Bolivia","LAC",1990,2000,2001,1855,0,0,"Moderate",NA,4.63578742813344,4.52953166347363,5.8,NA,NA,NA,NA,NA,NA,7.52617891334615,7.42619691476759,4.56026758305447,4.49980967033027,NA,0.158018401438139,0.558798940852009,NA,NA,NA,NA,NA,NA,2,0,NA,94.6090597717833,8.4847612715726,1679.40847934245,46.7032725841847,17.1187746048239,0.558798940852009,-0.386608104687184,3.85398006439209,0.49137551,90,42,405.149594608156,1,9,23,13,NA,NA,NA,NA,NA,0,NA,NA,1.44444444444444,14,2.30258509299405,3.17805383034795,NA,NA,NA,0.411208111818245,0.792188474713832,4.26268005371094,2,971000
"BFA","Burkina Faso","SSA",1990,2000,2002,700,0,0,"High",NA,-0.602928477580988,NA,NA,NA,NA,NA,NA,NA,NA,6.55250788703459,5.80559653906616,3.33024667300804,4.63375764284,NA,-0.00505579289874713,0.0148324858775218,NA,NA,NA,NA,NA,NA,3,1,NA,26.945234188084,1.10862532352701,332.153276660935,35.4226504401749,-0.504303388918912,0.0148324858775218,-1.05750344196955,3.80152010917664,1.21998167,102.9,40.2,152.135618612682,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329972473864821,0.17686685167717,5.63478946685791,6,0
"BDI","Burundi","SSA",1990,2005,2009,825,0,0,"In distress",NA,3.49982213611253,3.92654765023901,NA,NA,NA,NA,NA,NA,NA,6.71659477352098,5.92223568801384,4.40889439295928,4.52828914165213,NA,0.0676789245907878,0.110894210226116,NA,NA,NA,NA,NA,NA,4,1,NA,81.1785560693257,3.79505487758829,373.245241687992,59.3371692453075,7.00216956651122,0.110894210226116,-1.00554325183233,3.35932993888855,1.4743973,92.6,48.2,273.617892804165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805839907589312,0.0939803472508528,5.63478946685791,8,0
"CMR","Cameroon","SSA",1990,2000,2006,1260,0,0,"High",NA,-6.10569764600656,0.146287932571086,NA,NA,NA,NA,NA,NA,NA,7.13966033596492,7.21559113248025,4.03736700989191,4.39197696552705,NA,0.0109338201762459,-0.662232673156013,NA,NA,NA,NA,NA,NA,3,1,NA,55.6769164124174,4.38077140434586,1360.47765296011,37.496445441126,1.09938128383608,-0.916249104832404,-1.58995733658473,3.28710007667542,0.8734315,80.8,46.1,296.971703623678,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142339433360256,0.217452337730271,5.63478946685791,6,7835000
"CAF","Central African Republic","SSA",1990,2007,2009,578,0,0,"In distress",NA,-2.14752806574087,3.41020370678956,NA,NA,NA,NA,NA,NA,NA,6.361302477573,6.2534186043018,3.91701803478404,4.69134788222914,NA,-0.000123312164904557,0.048437878429039,NA,NA,NA,NA,NA,NA,4,1,NA,49.2503762656125,2.0530411794851,519.786735961912,42.9429835183745,-0.0123304562272102,0.048437878429039,-0.739433345074455,2.2441999912262,0.5933851,109,51.8,229.37566154219,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121776517422044,0.199171865740031,5.63478946685791,6,0
"COM","Comoros","SSA",1990,2010,2012,145,0,0,"High",NA,7.33881096130857,3.84507571588902,NA,NA,NA,NA,NA,NA,NA,4.98360662170834,7.13390388096017,3.78625847205063,4.53796143629464,NA,NA,0.0978688375370205,NA,NA,NA,NA,NA,NA,3,1,NA,43.0911231048001,0.276702368749738,1253.76196294342,35.7570317175345,-1.65139733620775,0.0978688375370205,-1.74160973230998,4.82501983642578,0.56892991,93.5,45.3,241.02181324894,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318007853789982,0.424316889367604,NA,6,0
"COD","Dem. Rep. Congo","SSA",1990,2003,2010,12300,0,0,"In distress",-180000,-6.56831069464245,NA,NA,NA,NA,NA,NA,NA,NA,9.41743583886879,6.72342724749264,4.79148253847965,4.62888671260541,NA,0.594957585693115,-0.154656300440917,NA,NA,NA,NA,NA,NA,4,1,NA,119.479852343184,4.05785464819457,831.662947440969,33.0185892502311,81.295404814004,-0.154656300440917,-1.573199848334,2.27630996704102,0.81272614,102.4,59.4,723.712642219248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0860752392375109,0.120680835775477,5.48063898086548,8,1410000
"CIV","Côte d'Ivoire","SSA",1990,2009,2012,3000,0,0,"High",-826000,-1.09590841238308,NA,NA,NA,NA,NA,NA,NA,NA,8.00670084544037,7.53159448656271,5.23817357392075,4.61115225766564,NA,-0.00809144460586493,0.4486393140459,NA,NA,NA,NA,NA,NA,3,1,NA,187.325824904665,13.7026402741674,1866.0785698741,58.8014956103209,-0.80587969827806,0.4486393140459,-0.354425969223181,3.51721000671387,1.32303464,100.6,55.9,637.146463573234,1,15.63,16.89,0.04,4.63,11,1.17,11,2.79,1.06,0.296225207933461,0.420909090909091,0.00255918106206014,1.26,2.81120829320484,2.88424189752063,NA,-0.55936504326436,NA,0.38405532678403,0.277969575677426,6.50428819656372,6,315000
