"variable","pct_hipc"
"ccode_qog",100
"ccodealp_year",100
"cname_qog",100
"cname_year",100
"psi_edate1",100
"psi_edate2",100
"ht_colonial",99.5
"ht_region",99.5
"br_coup",97.7
"br_cw",97.7
"br_dem",97.7
"br_fcoup",97.7
"br_mon",97.7
"br_pres",97.7
"br_scoup",97.7
"br_col",97.6
"br_com",97.6
"br_elecpost",97.6
"br_elect",97.6
"br_elecyear",97.6
"br_newconst",97.6
"br_regch",97.6
"br_suff",97.6
"idf_dia2050",97.6
"idf_ifg2050",97.6
"idf_igt2050",97.6
"vdem_corr",97.5
"vdem_delibdem",97.5
"vdem_dl_delib",97.5
"vdem_edcomp_thick",97.5
"vdem_egal",97.5
"vdem_egaldem",97.5
"vdem_exbribe",97.5
"vdem_excrptps",97.5
"vdem_execorr",97.5
"vdem_exembez",97.5
"vdem_exthftps",97.5
"vdem_jucorrdc",97.5
"vdem_libdem",97.5
"vdem_liberal",97.5
"vdem_mecorrpt",97.5
"vdem_partip",97.5
"vdem_partipdem",97.5
"vdem_polyarchy",97.5
"vdem_pubcorr",97.5
"vdem_regimeamb",97.5
"vdem_gender",97
"wpp_fertrate_2030",96.3
"wpp_fertrate_2050",96.3
"wpp_medianage_2030",96.3
"wpp_medianage_2050",96.3
"wpp_pop_2030",96.3
"wpp_pop_2050",96.3
"wpp_popden_2030",96.3
"wpp_popden_2050",96.3
"wpp_sexratio_2030",96.3
"wpp_sexratio_2050",96.3
"ccp_syst",96.1
"ccodecow",95.6
"idf_hepp2050",95.1
"ihme_lifexp_0102t",94.8
"ihme_lifexp_0204t",94.8
"wpp_fertrate",94.8
"wpp_medianage",94.8
"wpp_netmig",94.8
"wpp_pop",94.8
"wpp_popden",94.8
"wpp_sexratio",94.8
"vdem_academ",94
"fe_cultdiv",93.3
"fe_etfra",93.3
"fe_lmin",93.3
"fe_plural",93.3
"sai_statehiste0",92.5
"sai_statehiste01",92.5
"sai_statehiste1",92.5
"sai_statehisten0",92.5
"sai_statehisten01",92.5
"sai_statehisten1",92.5
"wdi_agedr",92.5
"wdi_migration",92.5
"wdi_pop",92.5
"wdi_pop14",92.5
"wdi_pop1564",92.5
"wdi_pop65",92.5
"wdi_popf",92.5
"wdi_poprul",92.5
"wdi_popurb",92.5
"wdi_region",92.5
"wdi_popgr",91.9
"wdi_poprulgr",91.9
"wdi_popurbagr",91.9
"bmr_dem",91.7
"bmr_dembr",91.7
"bmr_demdur",91.7
"bmr_demfsuf",91.7
"bmr_demtran",91.7
"bmr_demmis",91.6
"wdi_birth",91
"wdi_death",91
"wdi_fertility",91
"wdi_lifexp",91
"wdi_lifexpf",91
"wdi_lifexpm",91
"wdi_mortf",91
"wdi_mortm",91
"fao_luagr",90.4
"fao_luagrara",90.4
"fao_luagrcrop",90.4
"fao_lucrop",90.4
"who_infmortf",89.7
"who_infmortm",89.7
"who_infmortt",89.7
"who_alcohol10",89.4
"ccp_systyear",89.3
"wdi_gdpcapcon2015",89.1
"wdi_gdpcapcur",88.9
"van_comp",88.6
"van_index",88.6
"van_part",88.6
"wdi_mortu5",88.3
"wdi_gdpcapgr",88.2
"wdi_gdpgr",88.2
"wdi_mortinf",87.9
"wdi_mortinff",87.9
"wdi_mortinfm",87.9
"wdi_mortu5f",87.9
"wdi_mortu5m",87.9
"br_int",87.8
"br_presf",87.8
"mad_gdppc",87.8
"wdi_gnicur",87.7
"pwt_gc",87.4
"pwt_me",87.4
"pwt_mi",87.4
"pwt_plcf",87.4
"pwt_ple",87.4
"pwt_plgc",87.4
"pwt_plhc",87.4
"pwt_pli",87.4
"pwt_pop",87.4
"pwt_rgdp",87.4
"pwt_rt",87.4
"pwt_sgcf",87.4
"pwt_shhc",87.4
"pwt_xr",87.4
"wdi_araland",87.2
"wdi_area",87.2
"wdi_popden",87.2
"fao_luagrirreqcrop",86.5
"p_durable",86.5
"chisols_autend",86.3
"chisols_auttrans",86.3
"chisols_dem",86.3
"chisols_demtrans",86.3
"chisols_hybrid",86.3
"chisols_indmil",86.3
"chisols_mil",86.3
"chisols_mixed",86.3
"chisols_mon",86.3
"chisols_nonindep",86.3
"chisols_olig",86.3
"chisols_other",86.3
"chisols_parl",86.3
"chisols_per",86.3
"chisols_pres",86.3
"chisols_regtrans",86.3
"chisols_solschange",86.3
"chisols_sp",86.3
"chisols_totalldrtrans",86.3
"chisols_warlord",86.3
"p_polity2",86.2
"wdi_precip",85.7
"ef_ef",84.7
"wdi_gniatlcur",84.2
"wdi_gnicapatlcur",84.2
"wui_wui",84.1
"qar_adqu",84
"qar_efqu",84
"qar_imqu",84
"h_l1",83.7
"h_l2",83.7
"h_polcon3",83.7
"ccp_buildsoc",83.2
"ccp_cc",83.2
"ccp_childwrk",83.2
"ccp_civil",83.2
"ccp_democ",83.2
"ccp_equal",83.2
"ccp_freerel",83.2
"ccp_hr",83.2
"ccp_infoacc",83.2
"ccp_market",83.2
"ccp_marriage",83.2
"ccp_samesexm",83.2
"ccp_slave",83.2
"ccp_socialsm",83.2
"ccp_strike",83.2
"ccp_taxes",83.2
"wgov_leadexp",82.9
"wgov_min",82.9
"wgov_minfem",82.9
"wgov_minmil",82.9
"wgov_tot",82.9
"wgov_totfem",82.9
"wgov_totmil",82.9
